OMRÅDE;CIVILSTAND;TID;INDHOLD
All Denmark;Never married;2020Q1;2844060
Region Hovedstaden;Never married;2020Q1;973802
Copenhagen;Never married;2020Q1;412512
Frederiksberg;Never married;2020Q1;60781
Dragør;Never married;2020Q1;5844
Tårnby;Never married;2020Q1;19947
Albertslund;Never married;2020Q1;13795
Ballerup;Never married;2020Q1;22371
Brøndby;Never married;2020Q1;16245
Gentofte;Never married;2020Q1;35130
Gladsaxe;Never married;2020Q1;34731
Glostrup;Never married;2020Q1;11193
Herlev;Never married;2020Q1;13767
Hvidovre;Never married;2020Q1;26533
Høje-Taastrup;Never married;2020Q1;23532
Ishøj;Never married;2020Q1;10808
Lyngby-Taarbæk;Never married;2020Q1;27810
Rødovre;Never married;2020Q1;20055
Vallensbæk;Never married;2020Q1;7354
Allerød;Never married;2020Q1;10586
Egedal;Never married;2020Q1;18274
Fredensborg;Never married;2020Q1;17135
Frederikssund;Never married;2020Q1;18530
Furesø;Never married;2020Q1;17443
Gribskov;Never married;2020Q1;15993
Halsnæs;Never married;2020Q1;12656
Helsingør;Never married;2020Q1;27077
Hillerød;Never married;2020Q1;23306
Hørsholm;Never married;2020Q1;9677
Rudersdal;Never married;2020Q1;24690
Bornholm;Never married;2020Q1;15996
Christiansø;Never married;2020Q1;31
Region Sjælland;Never married;2020Q1;368715
Greve;Never married;2020Q1;21016
Køge;Never married;2020Q1;27189
Lejre;Never married;2020Q1;11553
Roskilde;Never married;2020Q1;41111
Solrød;Never married;2020Q1;9955
Faxe;Never married;2020Q1;15575
Guldborgsund;Never married;2020Q1;25908
Holbæk;Never married;2020Q1;32235
Kalundborg;Never married;2020Q1;21163
Lolland;Never married;2020Q1;17132
Næstved;Never married;2020Q1;38119
Odsherred;Never married;2020Q1;13011
Ringsted;Never married;2020Q1;16052
Slagelse;Never married;2020Q1;37269
Sorø;Never married;2020Q1;13232
Stevns;Never married;2020Q1;9085
Vordingborg;Never married;2020Q1;19110
Region Syddanmark;Never married;2020Q1;568126
Assens;Never married;2020Q1;17711
Faaborg-Midtfyn;Never married;2020Q1;22004
Kerteminde;Never married;2020Q1;9789
Langeland;Never married;2020Q1;4583
Middelfart;Never married;2020Q1;16533
Nordfyns;Never married;2020Q1;12701
Nyborg;Never married;2020Q1;13803
Odense;Never married;2020Q1;112490
Svendborg;Never married;2020Q1;26178
Ærø;Never married;2020Q1;2174
Billund;Never married;2020Q1;11719
Esbjerg;Never married;2020Q1;55014
Fanø;Never married;2020Q1;1258
Fredericia;Never married;2020Q1;23719
Haderslev;Never married;2020Q1;24806
Kolding;Never married;2020Q1;44898
Sønderborg;Never married;2020Q1;32107
Tønder;Never married;2020Q1;15874
Varde;Never married;2020Q1;21766
Vejen;Never married;2020Q1;19285
Vejle;Never married;2020Q1;54448
Aabenraa;Never married;2020Q1;25266
Region Midtjylland;Never married;2020Q1;653428
Favrskov;Never married;2020Q1;21794
Hedensted;Never married;2020Q1;20301
Horsens;Never married;2020Q1;44353
Norddjurs;Never married;2020Q1;16360
Odder;Never married;2020Q1;9599
Randers;Never married;2020Q1;46936
Samsø;Never married;2020Q1;1281
Silkeborg;Never married;2020Q1;43672
Skanderborg;Never married;2020Q1;28692
Syddjurs;Never married;2020Q1;17996
Aarhus;Never married;2020Q1;208509
Herning;Never married;2020Q1;41719
Holstebro;Never married;2020Q1;27357
Ikast-Brande;Never married;2020Q1;18551
Lemvig;Never married;2020Q1;7900
Ringkøbing-Skjern;Never married;2020Q1;24254
Skive;Never married;2020Q1;20222
Struer;Never married;2020Q1;8562
Viborg;Never married;2020Q1;45370
Region Nordjylland;Never married;2020Q1;279989
Brønderslev;Never married;2020Q1;16246
Frederikshavn;Never married;2020Q1;24767
Hjørring;Never married;2020Q1;28574
Jammerbugt;Never married;2020Q1;16286
Læsø;Never married;2020Q1;593
Mariagerfjord;Never married;2020Q1;18168
Morsø;Never married;2020Q1;8740
Rebild;Never married;2020Q1;13553
Thisted;Never married;2020Q1;18696
Vesthimmerlands;Never married;2020Q1;16172
Aalborg;Never married;2020Q1;118194
